vehicle_id,driver_id,timestamp,engine_temp,fuel_level,speed,location,odometer,acceleration,brake_pressure,rpm,gear_position,check_engine_light,error_code,maintenance_required,tire_pressure,battery_voltage,oil_quality
VH0103,DRV014,2024-01-01 00:00:00,91.3982135851821,25.32708956674702,47.346149656566496,Tlemcen,5.627118290066797,0.5056758757432922,0.30651839696702704,2019,R,0,None,0,34.46887814903888,12.186699125307364,63.61282803415159
VH0180,DRV091,2024-01-01 01:00:00,92.38498925673053,3.5483405145697478,52.87855137277685,Algiers,12.24732023782411,0.3101443802883932,0.31693077640149053,3926,R,0,None,0,31.833589298569066,12.775449102984794,85.38525326678864
VH0093,DRV025,2024-01-01 02:00:00,98.85577081695045,83.60216584459728,78.81984067390032,Oran,14.88752651419184,0.0997498842344316,0.32656103060276415,901,3,0,None,0,37.169479588324045,12.729742621333173,58.858859296623926
VH0015,DRV077,2024-01-01 03:00:00,107.81684786466852,89.64844936811717,86.94221067475137,Algiers,21.027398937432004,0.25251645973930853,0.42957158041307686,3999,D,0,None,0,32.34310654602908,12.194139174763116,53.30508318954719
VH0107,DRV085,2024-01-01 04:00:00,76.35323674099459,16.247063661423987,41.02970947364568,Algiers,27.159835964844778,0.43184201949886036,0.5494267926570853,2999,1,0,None,0,32.722621250599694,12.641031749757174,71.22750617704384
VH0072,DRV031,2024-01-01 05:00:00,89.4752614393695,78.7056095845733,44.944338454131355,Oran,32.67595582263535,0.3030712121654629,0.4059865765403818,2553,2,0,None,0,32.78447713465055,12.618004287074882,97.50341874954266
VH0189,DRV054,2024-01-01 06:00:00,87.23664704955783,74.11526732856586,57.84319865366746,Tlemcen,39.42104233031787,0.1996555979080793,0.21633750054812567,3164,P,0,P0001,0,33.01255328835167,13.186397961907044,91.35893199604507
VH0021,DRV005,2024-01-01 07:00:00,94.33749685960962,17.837500193609046,27.43358955836227,Oran,44.75131619725145,0.4680450859375299,0.4091281741354287,1433,N,0,None,0,29.035980145902794,13.03405049218981,85.03175224522587
VH0103,DRV013,2024-01-01 08:00:00,92.15668770933618,42.18288025747938,60.28567740314135,Tlemcen,49.0867056314282,0.21410766088732203,0.3943447880545324,3576,1,0,None,0,31.849757135314572,13.015041177007273,83.32282738131697
VH0122,DRV028,2024-01-01 09:00:00,86.4745375726338,42.27579208341034,77.78615271044977,Annaba,53.85360845916983,0.5778082011644881,0.5248904497140583,3879,R,0,None,0,30.08876137732124,12.474858250689893,62.92666261093859
