vehicle_id,date,daily_miles,total_mileage,engine_temp,oil_level,error_code,hardware_failure
V001,2025-03-01,89.93,89.93,84.31,4.33,NONE,0
V001,2025-03-02,57.76,147.7,86.59,2.89,NONE,0
V001,2025-03-03,111.58,259.28,88.84,2.55,NONE,0
V001,2025-03-04,68.38,327.66,82.37,2.96,NONE,0
V001,2025-03-05,84.84,412.5,75.43,3.58,P0420,0
V001,2025-03-06,96.33,508.83,77.38,2.85,P0300,0
V001,2025-03-07,61.84,570.67,77.94,3.64,NONE,0
V001,2025-03-08,67.41,638.08,87.99,3.79,NONE,0
V001,2025-03-09,69.11,707.19,85.55,4.02,P0455,1
V001,2025-03-10,67.99,775.19,89.74,2.74,P0171,1
V001,2025-03-11,67.97,843.15,94.26,2.81,NONE,0
V001,2025-03-12,69.33,912.48,84.97,4.77,P0300,0
V001,2025-03-13,96.45,1008.93,78.9,3.28,P0455,1
V001,2025-03-14,135.57,1144.5,90.97,2.96,P0300,0
V001,2025-03-15,94.77,1239.27,85.86,2.72,NONE,0
V001,2025-03-16,59.82,1299.09,77.08,3.18,P0455,0
V001,2025-03-17,70.79,1369.87,90.29,3.2,P0171,0
V001,2025-03-18,57.39,1427.26,85.67,4.51,NONE,0
V001,2025-03-19,66.46,1493.72,88.06,2.51,NONE,0
V001,2025-03-20,91.64,1585.37,89.44,4.32,NONE,0
V001,2025-03-21,63.22,1648.58,83.45,4.66,NONE,0
V001,2025-03-22,49.84,1698.42,90.5,2.66,NONE,0
V001,2025-03-23,57.87,1756.29,79.02,4.32,P0300,0
V001,2025-03-24,96.7,1852.99,86.48,3.68,P0420,0
V001,2025-03-25,87.23,1940.22,81.77,4.4,P0300,0
V001,2025-03-26,109.91,2050.13,86.69,3.73,P0420,1
V001,2025-03-27,27.61,2077.73,89.11,2.56,P0171,1
V001,2025-03-28,51.62,2129.36,90.21,3.77,NONE,0
V001,2025-03-29,75.61,2204.97,86.79,3.53,P0420,0
V001,2025-03-30,64.21,2269.18,88.72,2.69,NONE,0
V001,2025-03-31,63.83,2333.01,82.49,4.82,NONE,0
V001,2025-04-01,90.03,2423.04,90.79,4.68,NONE,0
V001,2025-04-02,69.4,2492.45,87.57,4.73,P0171,0
V001,2025-04-03,107.44,2599.88,85.88,4.74,P0171,1
V001,2025-04-04,65.96,2665.84,83.36,3.07,P0420,0
V001,2025-04-05,105.47,2771.32,83.54,4.65,P0455,0
V001,2025-04-06,80.1,2851.42,83.83,3.54,P0420,0
V001,2025-04-07,72.09,2923.51,83.55,3.34,NONE,0
V001,2025-04-08,76.77,3000.28,87.02,3.8,NONE,0
V001,2025-04-09,61.14,3061.42,92.02,4.93,NONE,0
V001,2025-04-10,41.62,3103.05,84.87,3.21,NONE,0
V001,2025-04-11,82.05,3185.09,82.84,3.76,P0300,0
V001,2025-04-12,76.15,3261.25,86.51,2.86,NONE,0
V001,2025-04-13,86.8,3348.04,84.96,3.11,NONE,0
V001,2025-04-14,102.86,3450.9,88.76,3.09,P0300,0
V001,2025-04-15,63.96,3514.86,91.92,4.08,P0171,0
V001,2025-04-16,91.74,3606.6,95.95,2.73,NONE,0
V001,2025-04-17,70.13,3676.73,89.62,2.97,NONE,0
V001,2025-04-18,81.99,3758.72,82.48,4.19,P0420,1
V001,2025-04-19,80.18,3838.91,83.17,3.07,P0420,0
V001,2025-04-20,58.75,3897.66,87.37,4.23,P0420,0
V001,2025-04-21,92.41,3990.07,84.2,2.84,NONE,0
V001,2025-04-22,64.33,4054.41,83.39,4.81,NONE,0
V001,2025-04-23,72.87,4127.27,87.78,4.15,NONE,0
V001,2025-04-24,84.55,4211.82,91.54,3.82,P0455,0
V001,2025-04-25,73.51,4285.33,83.97,4.74,P0455,0
V001,2025-04-26,85.2,4370.53,88.91,3.35,P0300,0
V001,2025-04-27,105.99,4476.52,80.66,4.74,P0420,0
V001,2025-04-28,85.01,4561.53,86.73,4.11,NONE,0
V001,2025-04-29,84.53,4646.05,89.24,2.52,NONE,0
V002,2025-03-01,85.86,85.86,81.43,2.51,P0455,0
V002,2025-03-02,83.5,169.36,78.92,4.23,P0420,0
V002,2025-03-03,56.17,225.53,88.28,4.28,NONE,0
V002,2025-03-04,64.98,290.51,79.35,4.37,NONE,0
V002,2025-03-05,99.27,389.78,87.06,4.14,P0300,0
V002,2025-03-06,62.65,452.42,85.73,3.42,NONE,0
V002,2025-03-07,62.21,514.63,80.92,4.93,P0420,0
V002,2025-03-08,97.57,612.21,83.8,4.08,NONE,0
V002,2025-03-09,80.26,692.47,92.27,3.94,P0300,0
V002,2025-03-10,51.87,744.34,84.83,4.31,P0455,0
V002,2025-03-11,58.58,802.92,87.41,4.85,P0420,0
V002,2025-03-12,77.52,880.44,88.7,4.92,P0171,0
V002,2025-03-13,63.06,943.5,77.43,4.63,NONE,0
V002,2025-03-14,61.48,1004.98,82.44,3.89,P0171,1
V002,2025-03-15,83.46,1088.44,86.93,3.93,P0300,0
V002,2025-03-16,84.62,1173.06,80.96,4.98,P0455,0
V002,2025-03-17,81.16,1254.23,79.29,4.69,NONE,0
V002,2025-03-18,97.45,1351.68,90.33,4.26,P0455,0
V002,2025-03-19,52.45,1404.12,80.31,4.52,P0455,0
V002,2025-03-20,86.09,1490.21,86.29,4.78,P0300,0
V002,2025-03-21,90.3,1580.51,104.26,4.5,P0300,0
V002,2025-03-22,106.62,1687.13,89.94,4.49,NONE,0
V002,2025-03-23,73.69,1760.83,88.79,3.44,NONE,0
V002,2025-03-24,83.3,1844.13,80.72,2.59,NONE,0
V002,2025-03-25,126.29,1970.42,75.66,3.22,NONE,0
V002,2025-03-26,71.71,2042.13,85.4,2.59,NONE,0
V002,2025-03-27,70.56,2112.69,90.44,2.82,P0300,0
V002,2025-03-28,111.21,2223.9,85.64,3.04,NONE,0
V002,2025-03-29,65.39,2289.29,86.08,2.63,NONE,0
V002,2025-03-30,127.78,2417.07,94.22,4.09,P0171,0
V002,2025-03-31,39.5,2456.57,85.93,4.49,P0171,0
V002,2025-04-01,71.11,2527.68,76.65,2.7,P0171,0
V002,2025-04-02,90.1,2617.78,89.33,3.52,P0455,0
V002,2025-04-03,73.32,2691.09,83.41,3.13,NONE,0
V002,2025-04-04,115.31,2806.4,87.02,4.15,NONE,0
V002,2025-04-05,87.55,2893.95,93.26,4.03,NONE,0
